Text,Sentiment,Timestamp,Likes,Retweets,Hashtags,Platform,Country
 Late-night gaming session with friends.            ,Positive,2023-01-20 00:05:00,35.0,18.0,#Gaming #LateNight,Twitter,UK
 Attending a virtual conference on AI.              ,Neutral,2023-01-20 11:30:00,50.0,25.0,#AI #TechConference,Facebook,USA
 Winter blues got me feeling low.                   ,Negative,2023-01-20 15:15:00,15.0,8.0,#WinterBlues #Mood,Instagram,USA
 Sipping coffee and enjoying a good book.           ,Positive,2023-01-21 08:40:00,45.0,22.0,#Reading #CoffeeTime,Twitter,India
 Exploring the world of virtual reality.            ,Positive,2023-01-21 13:20:00,30.0,15.0,#VR #VirtualReality,Facebook,USA
 Productive day ticking off my to-do list.          ,Positive,2023-01-21 16:45:00,60.0,30.0,#Productivity #WorkFromHome,Instagram,USA
 Just finished a challenging workout routine.       ,Positive,2023-01-22 09:15:00,40.0,20.0,#Fitness #ChallengeAccepted,Twitter,UK
 Celebrating a milestone at work! 🎉               ,Positive,2023-01-22 14:30:00,25.0,12.0,#Career #Milestone,Facebook,Canada
 Sunday brunch with friends.                        ,Positive,2023-01-22 12:00:00,30.0,15.0,#Brunch #Friends,Instagram,UK
 Learning a new language for personal growth.       ,Positive,2023-01-23 16:20:00,50.0,25.0,#LanguageLearning #PersonalGrowth,Facebook,India
 Quiet evening with a good book.                    ,Positive,2023-01-23 19:45:00,30.0,15.0,#Reading #QuietTime,Instagram,Australia
 Reflecting on the importance of mental health.     ,Positive,2023-01-24 11:30:00,45.0,22.0,#MentalHealth #SelfCare,Twitter,USA
 New painting in progress! 🎨                       ,Positive,2023-01-24 15:00:00,25.0,12.0,#Art #PaintingInProgress,Facebook,Canada
 Weekend road trip to explore scenic views.         ,Positive,2023-01-24 17:30:00,35.0,18.0,#RoadTrip #ScenicViews,Instagram,UK
 Enjoying a cup of tea and watching the sunset.     ,Positive,2023-01-25 18:00:00,30.0,15.0,#TeaTime #Sunset,Twitter,India
 Coding a new project with enthusiasm.              ,Positive,2023-01-25 13:15:00,60.0,30.0,#Coding #Enthusiasm,Facebook,USA
 Feeling inspired after attending a workshop.       ,Positive,2023-01-26 09:45:00,50.0,25.0,#Inspiration #Workshop,Instagram,USA
 Winter sports day at the local park.               ,Positive,2023-01-26 14:20:00,30.0,15.0,#WinterSports #Fun,Twitter,Canada
 Quality time with family this weekend.             ,Positive,2023-01-26 17:40:00,45.0,22.0,#FamilyTime #Weekend,Facebook,UK
 Attending a live music concert tonight.            ,Positive,2023-01-27 20:00:00,35.0,18.0,#Music #ConcertNight,Instagram,USA
 Practicing mindfulness with meditation.            ,Positive,2023-01-27 12:30:00,30.0,15.0,#Mindfulness #Meditation,Twitter,India
 Trying out a new dessert recipe.                   ,Positive,2023-01-27 16:10:00,25.0,12.0,#Dessert #Cooking,Facebook,Canada
 Excited about the upcoming gaming tournament.      ,Positive,2023-01-28 09:00:00,60.0,30.0,#Gaming #Tournament,Instagram,USA
 Planning a garden makeover for spring.             ,Positive,2023-01-28 14:45:00,50.0,25.0,#Gardening #Spring,Twitter,USA
 Celebrating a friend's birthday tonight! 🎂       ,Positive,2023-01-28 19:30:00,30.0,15.0,#Birthday #Celebration,Facebook,UK
 Feeling accomplished after a productive day.       ,Positive,2023-01-29 17:00:00,45.0,22.0,#Accomplished #Success,Instagram,India
 A cozy evening with a good movie.                 ,Positive,2023-01-29 20:20:00,35.0,18.0,#CozyNight #MovieTime,Twitter,Canada
 Exploring local art galleries this weekend.        ,Positive,2023-01-30 11:30:00,30.0,15.0,#Art #GalleryExplore,Facebook,USA
 New book release from my favorite author!          ,Positive,2023-01-30 15:45:00,25.0,12.0,#BookRelease #FavoriteAuthor,Instagram,UK
 Attending a virtual reality meetup.                ,Positive,2023-01-30 18:30:00,55.0,28.0,#VRMeetup #VirtualReality,Twitter,India
 Reflecting on the beauty of nature.                ,Positive,2023-01-31 10:45:00,30.0,15.0,#Nature #Reflection,Facebook,Australia
 Cooking a special dinner for loved ones.           ,Positive,2023-01-31 19:00:00,40.0,20.0,#Cooking #SpecialDinner,Instagram,USA
 Feeling optimistic about the week ahead.           ,Positive,2023-01-31 16:20:00,30.0,15.0,#Optimism #NewWeek,Twitter,Canada
 Starting a new fitness challenge tomorrow! 💪     ,Positive,2023-02-01 08:00:00,45.0,22.0,#FitnessChallenge #NewBeginnings,Facebook,UK
 Sunday bike ride through scenic trails.           ,Positive,2023-02-01 13:30:00,35.0,18.0,#BikeRide #ScenicTrails,Instagram,USA
 Can't believe the injustice happening in our society.,Anger,2023-02-11 09:30:00,40.0,20.0,#Injustice #Angry,Twitter,Canada
 Feeling a sense of fear after watching a thriller movie. ,Fear,2023-02-11 21:15:00,30.0,15.0,#Fear #ThrillerMovie,Instagram,USA
 Heartbroken after hearing the news about a natural disaster. ,Sadness,2023-02-12 14:45:00,50.0,25.0,#Sadness #NaturalDisaster,Facebook,India
 The state of the world's environment is just disgusting. ,Disgust,2023-02-12 18:20:00,35.0,18.0,#Disgust #Environment,Twitter,UK
 Pure happiness: celebrating a loved one's achievement! ,Happiness,2023-02-13 10:00:00,60.0,30.0,#Happiness #Celebration,Instagram,USA
 Laughter is the best medicine—enjoying a comedy show. ,Joy,2023-02-13 19:30:00,45.0,22.0,#Joy #ComedyShow,Facebook,Canada
 Sharing love and positive vibes with everyone! ❤️      ,Love,2023-02-14 08:30:00,30.0,15.0,#Love #SpreadLove,Twitter,Australia
 An amusing incident brightened up my day!               ,Amusement,2023-02-14 14:20:00,35.0,18.0,#Amusement #FunTimes,Instagram,UK
 Enjoying a quiet evening with a book and some tea.      ,Enjoyment,2023-02-14 19:45:00,50.0,25.0,#Enjoyment #BookTime,Facebook,Canada
 Admiring the beauty of nature during a peaceful hike.   ,Admiration,2023-02-15 11:30:00,40.0,20.0,#Admiration #Nature,Twitter,USA
 Sending affectionate vibes to all my followers!          ,Affection,2023-02-15 16:00:00,30.0,15.0,#Affection #PositiveVibes,Instagram,USA
 Experiencing awe at the breathtaking sunset.            ,Awe,2023-02-15 20:30:00,45.0,22.0,#Awe #Breathtaking,Facebook,Australia
 Disappointed with the service at a local restaurant.    ,Disappointed,2023-02-16 09:00:00,35.0,18.0,#Disappointed #BadService,Twitter,India
 A surprise gift from a friend made my day!              ,Surprise,2023-02-16 14:45:00,50.0,25.0,#Surprise #Gift,Instagram,USA
 Finding acceptance in the midst of life's challenges.   ,Acceptance,2023-02-16 18:20:00,30.0,15.0,#Acceptance #Challenges,Facebook,Canada
 Overflowing with adoration for my adorable pet! 🐾      ,Adoration,2023-02-17 10:45:00,45.0,22.0,#Adoration #PetLove,Twitter,UK
 Anticipating a thrilling adventure in the coming weeks. ,Anticipation,2023-02-17 07:30:00,40.0,20.0,#Anticipation #Adventure,Instagram,USA
 A bitter experience turned into a valuable lesson.      ,Bitter,2023-02-17 15:00:00,35.0,18.0,#BitterLesson #Growth,Facebook,USA
 Finding calmness in the midst of a busy day.            ,Calmness,2023-02-18 09:30:00,30.0,15.0,#Calmness #PeacefulMind,Twitter,India
 Confusion clouds my mind as I navigate through decisions.,Confusion,2023-02-18 14:20:00,50.0,25.0,#Confusion #DecisionMaking,Instagram,UK
 Excitement building up for the upcoming vacation!       ,Excitement,2023-02-18 18:45:00,45.0,22.0,#Excitement #TravelPlans,Facebook,Canada
 Kindness witnessed today restored my faith in humanity. ,Kind,2023-02-19 11:30:00,40.0,20.0,#Kindness #Humanity,Twitter,USA
 Pride in achieving a personal milestone.               ,Pride,2023-02-19 16:00:00,60.0,30.0,#Pride #Milestone,Instagram,Australia
 A moment of shame for not standing up against injustice. ,Shame,2023-02-19 19:45:00,30.0,15.0,#Shame #Injustice,Facebook,India
 Fuming with anger after a heated argument.            ,Anger,2023-02-20 09:30:00,40.0,20.0,#Anger #Argument,Twitter,Canada
 The fear of the unknown is keeping me up at night.    ,Fear,2023-02-20 21:15:00,30.0,15.0,#Fear #Unknown,Instagram,USA
 Heartfelt sadness after bidding farewell to a dear friend. ,Sadness,2023-02-21 14:45:00,50.0,25.0,#Sadness #Farewell,Facebook,India
 The state of corruption in our society is utterly disgusting. ,Disgust,2023-02-21 18:20:00,35.0,18.0,#Disgust #Corruption,Twitter,UK
 Overflowing happiness: welcoming a new family member!  ,Happiness,2023-02-22 10:00:00,60.0,30.0,#Happiness #NewFamilyMember,Instagram,UK
 Laughter is the key to joy—attending a stand-up comedy show. ,Joy,2023-02-22 19:30:00,45.0,22.0,#Joy #StandUpComedy,Facebook,Canada
 Sending love to all my followers on this beautiful day! ❤️ ,Love,2023-02-23 08:30:00,30.0,15.0,#Love #SpreadLove,Twitter,Australia
 Amused by the antics of my pet—it's pure amusement!      ,Amusement,2023-02-23 14:20:00,35.0,18.0,#Amusement #PetAntics,Instagram,UK
 Enjoying every moment of this trip—pure enjoyment!      ,Enjoyment,2023-02-23 19:45:00,50.0,25.0,#Enjoyment #Travel,Facebook,USA
 Admiring the dedication of volunteers at a local charity. ,Admiration,2023-02-24 11:30:00,40.0,20.0,#Admiration #Volunteers,Twitter,USA
 Sending affectionate vibes to friends and family.        ,Affection,2023-02-24 16:00:00,30.0,15.0,#Affection #FamilyLove,Instagram,USA
 Awe-struck by the beauty of the night sky.               ,Awe,2023-02-24 20:30:00,45.0,22.0,#Awe #StarryNight,Facebook,Australia
 Disappointed with the lack of progress in a personal project. ,Disappointed,2023-02-25 09:00:00,35.0,18.0,#Disappointed #Project,Twitter,India
 A surprise visit from an old friend brought tears of joy. ,Surprise,2023-02-25 14:45:00,50.0,25.0,#Surprise #OldFriends,Instagram,USA
 Embracing acceptance of life's ups and downs.           ,Acceptance,2023-02-25 18:20:00,30.0,15.0,#Acceptance #LifeJourney,Facebook,Canada
 Overflowing adoration for a cute rescue puppy! 🐶       ,Adoration,2023-02-26 10:45:00,45.0,22.0,#Adoration #PuppyLove,Twitter,UK
 Anticipating the release of a much-awaited movie.       ,Anticipation,2023-02-26 07:30:00,40.0,20.0,#Anticipation #MovieRelease,Instagram,Australia
 Bitter experience at the customer service department.   ,Bitter,2023-02-26 15:00:00,35.0,18.0,#BitterExperience #CustomerService,Facebook,USA
 Finding calmness amidst the chaos of daily life.        ,Calmness,2023-02-27 09:30:00,30.0,15.0,#Calmness #InnerPeace,Twitter,India
 Confusion reigns as I try to make sense of recent events.,Confusion,2023-02-27 14:20:00,50.0,25.0,#Confusion #MakingSense,Instagram,UK
 Excitement building up for a surprise birthday party.   ,Excitement,2023-02-27 18:45:00,45.0,22.0,#Excitement #SurpriseParty,Facebook,Canada
 Witnessed an act of kindness that made my day.          ,Kind,2023-02-28 11:30:00,40.0,20.0,#Kindness #ActsOfKindness,Twitter,USA
 Pride in completing a challenging fitness challenge.    ,Pride,2023-02-28 16:00:00,60.0,30.0,#Pride #FitnessChallengeCompleted,Instagram,UK
 A moment of shame for not speaking up against injustice.,Shame,2023-02-28 19:45:00,30.0,15.0,#Shame #Injustice,Facebook,India
 Reflecting on the beauty of diversity in our world.     ,Acceptance,2023-03-01 10:45:00,45.0,22.0,#Acceptance #Diversity,Twitter,Australia
 Excitement for a quiet evening with a good book.        ,Excitement,2023-03-01 13:30:00,35.0,18.0,#Excitement #BookTime,Instagram,USA
 Feeling bitter about the unfairness in the workplace.   ,Bitter,2023-03-01 17:45:00,30.0,15.0,#Bitter #Unfairness,Twitter,Canada
 Calmness prevails as I practice mindfulness.            ,Calmness,2023-03-02 18:00:00,30.0,15.0,#Calmness #Mindfulness,Facebook,UK
 Confusion surrounds me as I navigate through life's choices. ,Confusion,2023-03-02 13:15:00,60.0,30.0,#Confusion #LifeChoices,Instagram,USA
 Excitement for a weekend road trip to explore new places. ,Excitement,2023-03-02 16:45:00,50.0,25.0,#Excitement #WeekendAdventure,Twitter,India
 Kindness witnessed today restores my faith in humanity.  ,Kind,2023-03-03 11:30:00,45.0,22.0,#Kindness #HumanityRestored,Facebook,USA
 Pride in accomplishing personal and professional goals.  ,Pride,2023-03-03 14:30:00,25.0,12.0,#Pride #Accomplishments,Instagram,Canada
 Shame for not being true to my values in a difficult situation.,Shame,2023-03-03 12:00:00,30.0,15.0,#Shame #Integrity,Twitter,UK
" Revisiting old memories, feeling a sense of elation. ",Elation,2010-05-15 15:30:00,40.0,20.0,#Elation #Memories,Twitter,Canada
 The victory of our team brought euphoria to the city. ,Euphoria,2021-08-10 21:15:00,30.0,15.0,#Euphoria #Victory,Instagram,USA
" Embracing the beauty of nature, a moment of contentment. ",Contentment,2011-06-20 14:45:00,50.0,25.0,#Contentment #Nature,Facebook,India
" Meditating by the serene lake, finding inner peace.   ",Serenity,2022-02-12 18:20:00,35.0,18.0,#Serenity #Meditation,Twitter,UK
 Overflowing with gratitude for life's blessings.      ,Gratitude,2012-11-25 10:00:00,60.0,30.0,#Gratitude #Blessed,Instagram,Australia
" Hopeful for a brighter tomorrow, despite challenges.  ",Hope,2013-04-05 19:30:00,45.0,22.0,#Hope #Optimism,Facebook,USA
 Empowered to make a difference in my community.        ,Empowerment,2014-09-14 08:30:00,30.0,15.0,#Empowerment #Community,Twitter,UK
 Compassion in action: supporting a local charity event. ,Compassion,2015-07-18 14:20:00,35.0,18.0,#Compassion #CharityEvent,Instagram,Canada
" A moment of tenderness, connecting with loved ones.    ",Tenderness,2016-02-23 19:45:00,50.0,25.0,#Tenderness #FamilyTime,Facebook,UK
 Arousal of excitement as I await a special announcement.,Arousal,2017-10-30 11:30:00,40.0,20.0,#Arousal #Excitement,Twitter,Australia
 Enthusiastically diving into a new project.            ,Enthusiasm,2018-06-15 16:00:00,30.0,15.0,#Enthusiasm #NewProject,Instagram,USA
 Feeling a sense of fulfillment after reaching a milestone.,Fulfillment,2019-03-28 18:20:00,45.0,22.0,#Fulfillment #Milestone,Facebook,India
 Reverence for the beauty of a historic landmark.       ,Reverence,2019-11-11 15:00:00,35.0,18.0,#Reverence #History,Twitter,UK
 Elation after a surprise reunion with old friends.    ,Elation,2020-04-02 09:30:00,50.0,25.0,#Elation #OldFriends,Instagram,Canada
 The euphoria of a live music concert under the stars.  ,Euphoria,2021-06-19 14:45:00,30.0,15.0,#Euphoria #LiveMusic,Facebook,USA
 Contentment in the simplicity of a quiet Sunday.       ,Contentment,2010-08-15 10:00:00,60.0,30.0,#Contentment #SundayMood,Twitter,Australia
 Serenity found in the pages of a favorite book.        ,Serenity,2011-09-22 19:30:00,45.0,22.0,#Serenity #BookTime,Instagram,UK
 Gratitude for the support received during tough times. ,Gratitude,2012-03-10 08:30:00,30.0,15.0,#Gratitude #Supportive,Facebook,India
 Hopeful about the possibilities of a new journey.      ,Hope,2013-12-05 16:00:00,35.0,18.0,#Hope #NewBeginnings,Twitter,Canada
 Empowerment through learning and personal growth.      ,Empowerment,2014-07-20 11:30:00,50.0,25.0,#Empowerment #PersonalGrowth,Instagram,USA
 Compassion towards those in need during the holidays.  ,Compassion,2015-12-22 14:20:00,35.0,18.0,#Compassion #HolidaySupport,Facebook,USA
 Tenderness in the warmth of a cozy winter evening.     ,Tenderness,2016-02-10 19:45:00,50.0,25.0,#Tenderness #CozyEvening,Twitter,UK
 Arousal of excitement for an upcoming adventure.       ,Arousal,2017-04-30 11:30:00,40.0,20.0,#Arousal #AdventureTime,Instagram,Australia
 Enthusiasm for a creative project in the making.       ,Enthusiasm,2018-09-15 16:00:00,30.0,15.0,#Enthusiasm #Creativity,Facebook,Canada
 Fulfillment in completing a challenging workout routine.,Fulfillment,2019-06-28 18:20:00,45.0,22.0,#Fulfillment #FitnessGoals,Twitter,India
 Reverence for the artistry displayed in a museum.      ,Reverence,2020-11-11 15:00:00,35.0,18.0,#Reverence #ArtAppreciation,Instagram,UK
 Elation after achieving a personal goal.               ,Elation,2021-03-02 09:30:00,50.0,25.0,#Elation #PersonalAchievement,Facebook,USA
 Elation over discovering a hidden gem in the city.   ,Elation,2012-02-18 14:30:00,40.0,20.0,#Elation #HiddenGem,Twitter,USA
 The euphoria of a surprise birthday celebration.     ,Euphoria,2018-11-05 21:45:00,30.0,15.0,#Euphoria #BirthdaySurprise,Instagram,UK
 Contentment in the simplicity of a home-cooked meal. ,Contentment,2015-09-12 13:20:00,50.0,25.0,#Contentment #HomeCooking,Facebook,India
 Serenity found in the melody of a peaceful piano.    ,Serenity,2016-07-30 18:10:00,35.0,18.0,#Serenity #PeacefulMelody,Twitter,Canada
 Gratitude for the supportive community around me.    ,Gratitude,2013-04-20 10:30:00,60.0,30.0,#Gratitude #CommunitySupport,Instagram,USA
 Hopeful about the prospects of a new business venture.,Hope,2017-12-08 19:15:00,45.0,22.0,#Hope #BusinessVenture,Facebook,Canada
 Empowerment through mentoring and guiding others.    ,Empowerment,2014-06-03 08:20:00,30.0,15.0,#Empowerment #Mentorship,Twitter,UK
 Compassion shown through acts of kindness in the community.,Compassion,2019-01-15 14:50:00,35.0,18.0,#Compassion #CommunityKindness,Instagram,Australia
 Tenderness in a heartfelt message to a loved one.    ,Tenderness,2016-12-25 19:30:00,50.0,25.0,#Tenderness #LoveNote,Facebook,UK
 Arousal of excitement before a much-awaited trip.    ,Arousal,2018-03-10 09:45:00,40.0,20.0,#Arousal #TravelAdventure,Twitter,India
 Enthusiasm for a new artistic project in the works.  ,Enthusiasm,2020-09-17 16:30:00,30.0,15.0,#Enthusiasm #ArtisticProject,Instagram,USA
 Feeling a sense of fulfillment after helping others. ,Fulfillment,2011-08-28 18:45:00,45.0,22.0,#Fulfillment #HelpingOthers,Facebook,Canada
 Reverence for the historical significance of a landmark.,Reverence,2017-11-01 15:30:00,35.0,18.0,#Reverence #HistoricalSite,Twitter,Australia
 Elation after achieving a fitness milestone.         ,Elation,2019-06-15 10:00:00,50.0,25.0,#Elation #FitnessMilestone,Instagram,UK
 The euphoria of a successful product launch.         ,Euphoria,2022-04-03 11:45:00,30.0,15.0,#Euphoria #ProductLaunchSuccess,Facebook,USA
 Contentment in the embrace of a loved one.           ,Contentment,2010-11-12 20:20:00,60.0,30.0,#Contentment #Love,Twitter,India
 Serenity found in the beauty of a sunset by the sea.  ,Serenity,2011-07-22 18:30:00,45.0,22.0,#Serenity #SunsetViews,Instagram,Canada
 Gratitude for the small joys that each day brings.   ,Gratitude,2012-03-30 11:20:00,30.0,15.0,#Gratitude #SmallJoys,Facebook,Australia
 Hopeful about the potential for personal growth.      ,Hope,2013-10-05 16:40:00,35.0,18.0,#Hope #PersonalDevelopment,Twitter,UK
 Empowerment through learning a new skill.            ,Empowerment,2014-07-10 13:15:00,50.0,25.0,#Empowerment #SkillBuilding,Instagram,India
 Compassion in volunteering for a local charity.       ,Compassion,2015-12-18 14:20:00,35.0,18.0,#Compassion #VolunteerWork,Facebook,USA
 Tenderness in a quiet moment shared with a pet.      ,Tenderness,2016-02-10 19:45:00,50.0,25.0,#Tenderness #PetLove,Twitter,Canada
 Arousal of excitement for an upcoming festival.       ,Arousal,2017-09-25 11:30:00,40.0,20.0,#Arousal #FestivalExcitement,Instagram,UK
 Enthusiasm for a DIY home improvement project.       ,Enthusiasm,2018-04-15 16:00:00,30.0,15.0,#Enthusiasm #HomeImprovement,Facebook,Australia
 Fulfillment in completing a challenging puzzle.      ,Fulfillment,2019-11-28 18:20:00,45.0,22.0,#Fulfillment #PuzzleChallenge,Twitter,India
 Reverence for the wonders of nature on a hiking trail.,Reverence,2020-05-11 15:00:00,35.0,18.0,#Reverence #NatureExploration,Instagram,USA
 Elation after a surprise reunion with a childhood friend.,Elation,2021-02-05 09:30:00,50.0,25.0,#Elation #FriendshipReunion,Facebook,Canada
 Suffering from despair after another setback.      ,Despair,2021-03-10 08:30:00,10.0,5.0,#Despair #Struggle,Twitter,USA
" Overwhelmed by grief, missing a loved one dearly.  ",Grief,2022-07-05 15:45:00,15.0,8.0,#Grief #Loss,Instagram,Canada
 Loneliness creeps in as the night grows colder.    ,Loneliness,2019-11-18 21:20:00,20.0,10.0,#Loneliness #Isolation,Facebook,UK
 Jealousy consumes me as I witness others' success. ,Jealousy,2020-08-12 11:30:00,25.0,12.0,#Jealousy #Envy,Twitter,India
 Resentment building up over past betrayals.        ,Resentment,2018-05-22 14:45:00,15.0,7.0,#Resentment #Bitterness,Instagram,Australia
 Frustration mounts as obstacles block my path.     ,Frustration,2017-01-30 16:10:00,20.0,10.0,#Frustration #Obstacles,Facebook,USA
" Boredom sets in, the day feels endlessly dull.     ",Boredom,2016-09-28 19:45:00,15.0,8.0,#Boredom #LackOfInterest,Twitter,Canada
" Anxiety grips my heart, worry clouds my thoughts.  ",Anxiety,2019-04-15 09:00:00,25.0,12.0,#Anxiety #Worry,Instagram,UK
 Intimidation by the unknown future ahead.          ,Intimidation,2021-12-03 18:30:00,30.0,15.0,#Intimidation #Fear,Facebook,India
 Helplessness sinks in as challenges pile up.       ,Helplessness,2020-06-20 14:20:00,15.0,8.0,#Helplessness #Overwhelmed,Twitter,Australia
 Envy eats away at me as I see others' prosperity.  ,Envy,2018-11-07 11:30:00,20.0,10.0,#Envy #Desire,Instagram,Canada
 Regret over missed opportunities haunts my thoughts.,Regret,2017-08-25 16:00:00,25.0,12.0,#Regret #MissedChances,Facebook,UK
 Disgust at the sight of injustice and cruelty.     ,Disgust,2019-02-11 09:45:00,15.0,7.0,#Disgust #Injustice,Twitter,India
" Drowning in despair, hope slipping through my fingers.",Despair,2016-04-02 20:20:00,20.0,10.0,#Despair #Hopeless,Instagram,USA
" Grief weighs heavy, tears a constant companion.    ",Grief,2015-10-18 15:30:00,25.0,12.0,#Grief #Tears,Facebook,Canada
" Loneliness in a crowded room, a silent cry for connection.",Loneliness,2019-07-12 18:10:00,30.0,15.0,#Loneliness #SeekingConnection,Twitter,UK
" Jealousy gnaws at my confidence, a toxic emotion.  ",Jealousy,2018-06-03 16:30:00,15.0,8.0,#Jealousy #Insecurity,Instagram,India
" Resentment festers, poisoning relationships.       ",Resentment,2022-01-15 12:00:00,20.0,10.0,#Resentment #BrokenTrust,Facebook,Australia
" Frustration boils over, a volcanic eruption of emotions.",Frustration,2017-04-10 14:45:00,25.0,12.0,#Frustration #EmotionalOutburst,Twitter,USA
" Boredom settles like dust, life feels mundane.     ",Boredom,2016-11-28 19:00:00,15.0,7.0,#Boredom #Monotony,Instagram,Canada
" Anxiety grips my chest, a relentless grip on my thoughts.",Anxiety,2018-09-05 09:30:00,20.0,10.0,#Anxiety #Restlessness,Facebook,UK
" Intimidation by the challenges ahead, fear takes hold.",Intimidation,2021-10-22 18:30:00,30.0,15.0,#Intimidation #FacingFear,Twitter,India
" Helplessness engulfs me, drowning in a sea of problems.",Helplessness,2019-05-08 14:20:00,15.0,8.0,#Helplessness #Struggling,Instagram,Australia
" Envy poisons my thoughts, coveting others' success.",Envy,2017-03-20 11:30:00,20.0,10.0,#Envy #Success,Facebook,Canada
 Regret for decisions that led to a painful present.,Regret,2018-12-15 16:00:00,25.0,12.0,#Regret #PastChoices,Twitter,USA
 Disgust at the corruption that stains society.     ,Disgust,2016-07-01 09:45:00,15.0,7.0,#Disgust #Corruption,Instagram,UK
" Sinking in despair, each day darker than the last. ",Despair,2020-08-20 20:20:00,20.0,10.0,#Despair #DarkDays,Facebook,India
" Grief overwhelms, a storm of emotions within.      ",Grief,2021-02-25 15:30:00,25.0,12.0,#Grief #EmotionalStorm,Twitter,Canada
" Loneliness echoes in empty spaces, yearning for connection.",Loneliness,2019-09-12 18:10:00,30.0,15.0,#Loneliness #YearningForConnection,Instagram,Australia
" Jealousy poisons my thoughts, resentment brewing within.",Jealousy,2018-08-05 16:30:00,15.0,8.0,#Jealousy #Resentment,Facebook,USA
" Resentment festers, a wound that refuses to heal.  ",Resentment,2017-01-12 12:00:00,20.0,10.0,#Resentment #Unforgiving,Twitter,India
" Frustration escalates, a thunderstorm of emotions. ",Frustration,2022-04-05 14:45:00,25.0,12.0,#Frustration #EmotionalOutburst,Instagram,UK
" Boredom lingers, a stagnant pool of indifference.  ",Boredom,2021-10-02 19:00:00,15.0,7.0,#Boredom #Stagnation,Facebook,Canada
" Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ",Curiosity,2023-04-15 10:15:00,30.0,15.0,#Curiosity #Learning,Twitter,USA
" Lost in the vast sea of information, an indifferent wave in the digital ocean. ",Indifference,2022-11-28 17:30:00,15.0,7.0,#Indifference #DigitalOverload,Instagram,Canada
" The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ",Confusion,2020-04-02 09:45:00,20.0,10.0,#Confusion #LifePuzzle,Facebook,UK
" A numbness settles over me, a shield against the overwhelming emotions life throws my way. ",Numbness,2021-08-10 14:00:00,15.0,8.0,#Numbness #EmotionalShield,Twitter,India
" Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",Melancholy,2019-06-18 20:45:00,25.0,12.0,#Melancholy #SunsetMoments,Instagram,Australia
" Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony. ",Nostalgia,2018-02-05 15:15:00,20.0,10.0,#Nostalgia #MemoryLane,Facebook,USA
" Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty. ",Ambivalence,2022-05-30 11:30:00,25.0,12.0,#Ambivalence #UncertainChoices,Twitter,Canada
" Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",Acceptance,2023-01-10 16:20:00,30.0,15.0,#Acceptance #LifeJourney,Instagram,UK
" Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. ",Determination,2020-09-18 13:45:00,20.0,10.0,#Determination #AchieveTheImpossible,Facebook,India
